s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
174.8230746, 89621.3620120, 43184.1472534, -0.5543878, -0.1352756, 6.0985615, 0.7542618
175.8220636, 89621.9450457, 43184.9608959, -0.6893442, -0.1364582, 6.2208883, 0.7692408
176.8210526, 89622.6446884, 43185.6962572, -0.8340464, -0.1504082, 6.3432151, 1.5951044
177.8200416, 89623.4208259, 43186.3017320, -0.9815812, -0.1460675, 6.5896404, 1.7375049
178.8190306, 89624.2828356, 43186.7935417, -1.1210842, -0.1341780, 6.8479820, 1.8043128
179.8180196, 89625.2262667, 43187.1745778, -1.2503051, -0.1194701, 7.1063236, -0.1335581
180.8170086, 89626.2269364, 43187.4447152, -1.3593595, -0.0938255, 7.0875234, -0.2428554
181.8159976, 89627.2336545, 43187.6126425, -1.4507493, -0.0885287, 7.0532098, -0.2416768
182.8149866, 89628.1765388, 43187.6848239, -1.5410429, -0.1083164, 7.0188962, 2.1142917
183.8139756, 89629.2686064, 43187.6442813, -1.6821124, -0.1481867, 7.3136319, 2.3158664
184.8129646, 89630.1816381, 43187.4754154, -1.8260227, -0.1521920, 7.6234023, 2.0770013
185.8119536, 89631.0373463, 43187.1867294, -1.9695567, -0.1597103, 7.8908849, 2.0554138
186.8109426, 89631.9524470, 43186.7255523, -2.0901979, -0.0734182, 8.1469465, 2.4299937
187.8099316, 89632.7513820, 43186.2409835, -2.1356091, -0.0325891, 8.4396570, 2.5928677
188.8089206, 89633.5815537, 43185.6991999, -2.1602506, -0.0192530, 8.7411843, 2.6838784
189.8079096, 89634.4757209, 43185.0893527, -2.1773927, -0.0132208, 9.0427116, -0.1463608
190.8068986, 89635.3351914, 43184.4862369, -2.1853652, 0.0003395, 9.0265280, -1.0087088
191.8058876, 89636.1753449, 43183.8970159, -2.1765662, 0.0173584, 8.9141926, -0.9960768
192.8048766, 89636.9933061, 43183.3448308, -2.1487735, 0.0410345, 8.8018572, -1.1029416
193.8038656, 89637.8620988, 43182.8110413, -2.0892938, 0.0718419, 8.6757730, -1.2409901
194.8028546, 89638.7813143, 43182.3359094, -2.0019488, 0.0977427, 8.5316801, -1.2202064
195.8018436, 89639.6365265, 43181.9920237, -1.9006501, 0.1211661, 8.3875873, -1.2306573
196.8008326, 89640.5667688, 43181.7368153, -1.7741098, 0.1336932, 8.2397084, -1.2140406
197.7998216, 89641.5483337, 43181.5965009, -1.6583273, 0.0933274, 8.0911784, 0.8450375
198.7988106, 89642.5117141, 43181.5490109, -1.5852860, 0.0695233, 8.1948480, 2.0638018
199.7977996, 89643.4963580, 43181.5681863, -1.5174415, 0.0689889, 8.4426871, 2.1252881
200.7967886, 89644.5508684, 43181.6636903, -1.4429414, 0.0721847, 8.6905261, 2.7902419
201.7957776, 89645.5225547, 43181.8221690, -1.3778094, 0.0587909, 9.0055586, 2.9651514
202.7947666, 89646.4983954, 43182.0408155, -1.3247138, 0.0481455, 9.3286865, 3.0696688
203.7937555, 89647.4784663, 43182.3112539, -1.2795889, 0.0411318, 9.6518145, 2.3283483
204.7927445, 89648.4460502, 43182.6223231, -1.2411055, 0.0342277, 9.8898692, 2.0843139
205.7917335, 89649.3935612, 43182.9636541, -1.2100853, 0.0274678, 10.0982140, 2.1277654
206.7907225, 89650.3153807, 43183.3246565, -1.1860275, 0.0211441, 10.3065588, -2.4474713
207.7897115, 89651.2347258, 43183.7072512, -1.1675291, 0.0168079, 10.0665366, -5.5367916
208.7887005, 89652.1483617, 43184.1054432, -1.1527412, 0.0126217, 9.5011985, -5.2168609
209.7876895, 89653.0533784, 43184.5133841, -1.1427549, 0.0073995, 8.9358603, -6.0726891
210.7866785, 89653.9730193, 43184.9355295, -1.1406426, -0.0066430, 8.2290036, -6.3130692
211.7856675, 89654.9012964, 43185.3537861, -1.1578733, -0.0278877, 7.4231480, -5.6630088
212.7846565, 89655.8120485, 43185.7334257, -1.1985657, -0.0568648, 6.6172924, -2.7793175
213.7836455, 89656.8225886, 43186.0862613, -1.2742709, -0.0773152, 6.1834896, -1.2938848
214.7826345, 89657.8052032, 43186.3413616, -1.3640062, -0.1061257, 5.9707948, -1.3962128
215.7816235, 89658.7164022, 43186.4742444, -1.5115484, -0.2696494, 5.7324330, -1.6792177
216.7806125, 89659.6663705, 43186.3716354, -1.8502327, -0.2932156, 5.4319194, -1.0103842
217.7796015, 89660.5050242, 43186.0350457, -2.0458450, -0.2043555, 5.2428068, -0.8018544
218.7785905, 89661.3737358, 43185.4641013, -2.2582250, -0.2017914, 5.0877240, -0.0417336
219.7775795, 89662.1010413, 43184.7354770, -2.4455544, -0.1495566, 5.0795229, 0.3517425
220.7765685, 89662.6941836, 43183.9149909, -2.5822369, -0.1282811, 5.1482353, 0.3564687
221.7755575, 89663.1733777, 43183.0216523, -2.7201127, -0.1515853, 5.2169477, 0.7547565
222.7745465, 89663.5147373, 43182.0358926, -2.9053000, -0.2035728, 5.3595270, 0.8283624
223.7735355, 89663.6399489, 43181.0642146, -3.1293776, -0.2506662, 5.5117674, 1.0431967
224.7725245, 89663.5355421, 43180.1260100, 2.9044597, -0.2713763, 5.6977069, 1.3748271
225.7715135, 89663.1908658, 43179.2278729, 2.6494217, -0.2496408, 5.9338637, 1.4306536
226.7705025, 89662.5898794, 43178.3745709, 2.4163719, -0.1940150, 6.1700205, 1.7186415
227.7694915, 89661.9042984, 43177.7135378, 2.2736265, -0.1098616, 6.4422791, 1.8161990
228.7684805, 89661.1083638, 43177.0994443, 2.1904854, -0.0602791, 6.7180121, 1.8923046
229.7674695, 89660.2467926, 43176.5170563, 2.1454948, -0.0279105, 6.9937450, 2.1645785
230.7664585, 89659.3804656, 43175.9707531, 2.1216308, -0.0233338, 7.2963860, 2.3062447
231.7654475, 89658.5192004, 43175.4557474, 2.0975966, -0.0245749, 7.6055950, 2.4019517
232.7644365, 89657.6609326, 43174.9706079, 2.0727458, -0.0258444, 7.9148040, 2.5985968
233.7634255, 89656.7765234, 43174.5011373, 2.0426647, -0.0378702, 8.2362650, 2.7565299
234.7624145, 89655.8743740, 43174.0654936, 1.9956019, -0.0562193, 8.5640847, 2.8641045
235.7614035, 89654.9604323, 43173.6856012, 1.9308387, -0.0745171, 8.8919045, -2.2428423
236.7603925, 89654.0163599, 43173.3695465, 1.8614871, -0.0511811, 8.6362501, -4.5982183
237.7593815, 89653.0528225, 43173.1003847, 1.8322242, -0.0073191, 8.0868830, -4.2961087
238.7583705, 89652.0901114, 43172.8390149, 1.8469558, 0.0371002, 7.5375159, -2.0363758
239.7573595, 89651.1299785, 43172.5404638, 1.9031032, 0.0716343, 7.2626105, -1.2129839
240.7563485, 89650.1984974, 43172.1754264, 1.9909473, 0.1043811, 7.0937999, -1.1844580
241.7553375, 89649.3188820, 43171.7203626, 2.1110118, 0.1376320, 6.9249892, -1.1594234
242.7543265, 89648.4630435, 43171.1221691, 2.2448053, 0.1114934, 6.7556623, -1.1313921
243.7533155, 89647.7040871, 43170.4473917, 2.3471164, 0.0927478, 6.5862339, -1.0221382
244.7523045, 89647.0513635, 43169.7478086, 2.4358212, 0.1090473, 6.4293287, -0.5327946
245.7512935, 89646.4489519, 43168.9189367, 2.6127982, 0.2354835, 6.3460031, -0.2862527
246.7502825, 89646.0788885, 43168.0757862, 2.8429981, 0.2451180, 6.3007800, 0.8662441
247.7492715, 89645.9081603, 43167.1807061, 3.0582428, 0.2139821, 6.4366579, 0.8847256
248.7482604, 89645.9302660, 43166.0856296, -3.0315607, 0.1402075, 6.5725359, 1.0773359
249.7472494, 89646.0907180, 43165.1515429, -2.9155097, 0.1131150, 6.7342944, 1.1153273
250.7462384, 89646.3736999, 43164.1801077, -2.7995605, 0.1200598, 6.8977620, 1.1420760
251.7452274, 89646.7875351, 43163.2252529, -2.6601615, 0.1520642, 7.0612296, 1.6948796
252.7442164, 89647.3336793, 43162.3609642, -2.4958381, 0.1576412, 7.2970744, 1.9336258
253.7432054, 89647.9966209, 43161.6095432, -2.3434532, 0.1460528, 7.5571580, 2.0013378
254.7421944, 89648.7510837, 43160.9711446, -2.2044095, 0.1355150, 7.8172416, 1.7093072
255.7411834, 89649.5773467, 43160.4432998, -2.0755757, 0.1263044, 8.0327096, 1.4496376
256.7401724, 89650.4645846, 43160.0198517, -1.9596116, 0.1080953, 8.2110150, 1.4814626
257.7391614, 89651.4103156, 43159.6869340, -1.8629032, 0.0844311, 8.3893205, 1.3593916
258.7381504, 89652.3802331, 43159.4356726, -1.7877577, 0.0741120, 8.5496627, 1.1291100
259.7371394, 89653.3410633, 43159.2621537, -1.7090565, 0.0870855, 8.6805915, 1.1462697
260.7361284, 89654.3401623, 43159.1696535, -1.6149575, 0.1003320, 8.8115203, 1.1634294
261.7351174, 89655.3682392, 43159.1795681, -1.5052279, 0.1126615, 8.9424492, -1.9854526
262.7341064, 89656.4192222, 43159.3086966, -1.3959710, 0.0927856, 8.7178269, -2.3094738
