s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
153.6574859, 89631.0426439, 43167.9890818, 0.7422829, 0.0011673, 16.2017237, -1.8584953
154.6552617, 89630.3697507, 43168.7229183, 0.7411494, -0.0034951, 16.0868619, -5.1713954
155.6530376, 89629.6856700, 43169.4737308, 0.7371348, -0.0013678, 15.7628468, -7.5246337
156.6508135, 89629.0025304, 43170.2252340, 0.7398393, 0.0069875, 15.2791211, -7.2901216
157.6485894, 89628.3410604, 43170.9426745, 0.7515385, 0.0175937, 14.7953955, -9.1129242
158.6463653, 89627.6668203, 43171.6480625, 0.7775561, 0.0378415, 14.1675127, -9.6911379
159.6441412, 89626.9656354, 43172.3299845, 0.8238477, 0.0545581, 13.4677113, -9.2003243
160.6419170, 89626.1976042, 43173.0012317, 0.8813796, 0.0555394, 12.7679100, -7.8371218
161.6396929, 89625.4449053, 43173.5976319, 0.9134941, 0.0144163, 12.1400223, -7.4330534
162.6374688, 89624.6453033, 43174.2123375, 0.9122108, -0.0160192, 11.5129101, -7.0389070
163.6352447, 89623.8445516, 43174.8490758, 0.8806292, -0.0464923, 10.8857979, -6.5673160
164.6330206, 89623.0479818, 43175.5452091, 0.8216417, -0.0646557, 10.2662153, -6.1745634
165.6307965, 89622.3341212, 43176.2598496, 0.7431581, -0.0940703, 9.6474617, -5.7908539
166.6285723, 89621.7417924, 43176.9740282, 0.6330423, -0.1503972, 9.0287080, -6.6477891
167.6263482, 89621.1907391, 43177.8740684, 0.4633511, -0.1637997, 8.2614503, -6.0706692
168.6241241, 89620.8284304, 43178.7600856, 0.3182285, -0.1310669, 7.4924780, -2.4652286
169.6219000, 89620.5832758, 43179.6964981, 0.1864783, -0.1640548, 7.1566567, -1.2397380
170.6196759, 89620.4867823, 43180.6839490, 0.0030877, -0.1953969, 6.9816741, -0.9234003
171.6174517, 89620.5721233, 43181.6428844, -0.1762404, -0.1713156, 6.8484363, -0.7521213
172.6152276, 89620.8240910, 43182.6012462, -0.3343356, -0.1493055, 6.7379658, -0.7018629
173.6130035, 89621.2378694, 43183.5552585, -0.4815486, -0.1341002, 6.6332179, -0.5513525
174.6107794, 89621.7476640, 43184.3938555, -0.6104373, -0.1312196, 6.5497578, -0.5443714
175.6085553, 89622.3813761, 43185.1803515, -0.7480781, -0.1433624, 6.4662977, 0.1160816
176.6063312, 89623.1161100, 43185.8614584, -0.9005673, -0.1535987, 6.4841848, 1.1664107
177.6041070, 89623.9295378, 43186.4140502, -1.0452587, -0.1395368, 6.6612526, 1.1978336
178.6018829, 89624.8286696, 43186.8577513, -1.1765547, -0.1219768, 6.8383203, 1.6104318
179.5996588, 89625.8008193, 43187.1959474, -1.2913659, -0.0985312, 7.0693935, 2.1374970
180.5974347, 89626.8074028, 43187.4334392, -1.3844461, -0.0846776, 7.3649040, 2.2250181
181.5952106, 89627.7832954, 43187.5753949, -1.4692847, -0.0912927, 7.6604144, 2.4283288
182.5929865, 89628.8128942, 43187.6256485, -1.5819033, -0.1314088, 7.9704332, 2.6429613
183.5907623, 89629.8040194, 43187.5422920, -1.7341082, -0.1700572, 8.2946954, 2.9836028
184.5885382, 89630.6710784, 43187.3298618, -1.8901098, -0.1883057, 8.6461497, 3.5454102
185.5863141, 89631.5429895, 43186.9562785, -2.0510561, -0.1296558, 9.0460464, 3.7319796
186.5840900, 89632.4199230, 43186.4422959, -2.1371270, -0.0496195, 9.4487202, 3.9402427
187.5818659, 89633.2014816, 43185.9252387, -2.1694495, -0.0236943, 9.8560272, 4.1065115
188.5796417, 89634.0608096, 43185.3264840, -2.1871687, -0.0115754, 10.2633341, 2.9555275
189.5774176, 89634.9362967, 43184.6999724, -2.1949242, -0.0009560, 10.5467500, 0.5854557
190.5751935, 89635.7713077, 43184.1013538, -2.1879608, 0.0146951, 10.6019924, 0.5885142
191.5729694, 89636.5988175, 43183.5269445, -2.1639198, 0.0343875, 10.6572348, 0.5497465
192.5707453, 89637.3992385, 43183.0111533, -2.1174235, 0.0666207, 10.7085807, -3.2806255
193.5685212, 89638.3533022, 43182.4821125, -2.0324998, 0.0900888, 10.3984154, -3.1842085
194.5662970, 89639.2387167, 43182.0928510, -1.9335052, 0.1147292, 10.0882501, -2.1602903
195.5640729, 89640.1265440, 43181.8126060, -1.8162479, 0.1352892, 9.8722753, -0.7402740
196.5618488, 89641.0838679, 43181.6373702, -1.6914747, 0.1109979, 9.7971712, -0.5507755
197.5596247, 89642.0848085, 43181.5628672, -1.6076562, 0.0633286, 9.7409170, 0.3402562
198.5574006, 89643.0282571, 43181.5566784, -1.5465483, 0.0665388, 9.7757078, 0.3414693
199.5551765, 89644.0514330, 43181.6173307, -1.4756992, 0.0719519, 9.8104986, 1.2160617
200.5529523, 89645.0711235, 43181.7537309, -1.4001787, 0.0696098, 9.9334081, 2.4276752
201.5507282, 89646.0387686, 43181.9529810, -1.3369484, 0.0593496, 10.1743377, 2.4858517
202.5485041, 89647.0134271, 43182.2150820, -1.2801619, 0.0538641, 10.4152673, 2.6644514
203.5462800, 89647.9785496, 43182.5322576, -1.2270498, 0.0489726, 10.6674666, 3.0394518
204.5440559, 89648.9230238, 43182.8948934, -1.1832479, 0.0376843, 10.9480696, 3.1183654
205.5418317, 89649.8391994, 43183.2871261, -1.1511477, 0.0266971, 11.2286725, 2.1333993
206.5396076, 89650.7308830, 43183.6970598, -1.1304976, 0.0150904, 11.4166718, -3.5426709
207.5373835, 89651.6319467, 43184.1273211, -1.1225730, 0.0003803, 11.1027390, -3.4438974
208.5351594, 89652.5257656, 43184.5545129, -1.1298719, -0.0149514, 10.7888061, -4.0581367
209.5329353, 89653.4370493, 43184.9736662, -1.1516092, -0.0270801, 10.4067341, -6.8796086
210.5307112, 89654.3694539, 43185.3723935, -1.1832973, -0.0360722, 9.7247879, -6.4135213
